127.0.0.1 - - [30/Sep/2022:22:18:45 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:18:48 +0530] "GET /AutomateWithTestNG/index.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:18:49 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:18:55 +0530] "GET /AutomateWithTestNG/login12.html HTTP/1.1" 200 928
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:19:05 +0530] "GET /AutomateWithTestNG/login12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:19:08 +0530] "GET /AutomateWithTestNG/register.html HTTP/1.1" 200 2059
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:19:11 +0530] "GET /AutomateWithTestNG/shoppingCart.html HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:19:20 +0530] "GET /AutomateWithTestNG/shoppingCart.html HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:28 +0530] "GET /AutomateWithTestNG/index.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:33 +0530] "GET /AutomateWithTestNG/shoppingCart.html HTTP/1.1" 200 3354
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:33 +0530] "GET /AutomateWithTestNG/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:33 +0530] "GET /AutomateWithTestNG/cart.js HTTP/1.1" 200 3482
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:34 +0530] "GET /AutomateWithTestNG/product-images/camera.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:34 +0530] "GET /AutomateWithTestNG/product-images/external-hard-drive.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:34 +0530] "GET /AutomateWithTestNG/product-images/watch.jpg HTTP/1.1" 404 802
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:20:34 +0530] "GET /AutomateWithTestNG/product-images/laptop.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:34 +0530] "GET /AutomateWithTestNG/index.jsp HTTP/1.1" 200 811
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:37 +0530] "GET /AutomateWithTestNG/login12.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:40 +0530] "GET /AutomateWithTestNG/register.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:43 +0530] "GET /AutomateWithTestNG/shoppingCart.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:43 +0530] "GET /AutomateWithTestNG/style.css HTTP/1.1" 404 783
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:44 +0530] "GET /AutomateWithTestNG/product-images/external-hard-drive.jpg HTTP/1.1" 404 816
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:44 +0530] "GET /AutomateWithTestNG/product-images/camera.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:44 +0530] "GET /AutomateWithTestNG/product-images/laptop.jpg HTTP/1.1" 404 803
0:0:0:0:0:0:0:1 - - [30/Sep/2022:22:24:44 +0530] "GET /AutomateWithTestNG/product-images/watch.jpg HTTP/1.1" 404 802
